Feature_Code,Readable_Name,Full_Name,Short_Name,Category,Formula,Interpretation
A23,net_margin,Net Profit / Sales,Net Margin,Profitability,net profit / sales,Net profit margin. Bottom-line profitability.
A24,gp_3yr_assets,Gross Profit (in 3 years) / Total Assets,GP (3yr) / Assets,Profitability,gross profit (in 3 years) / total assets,Multi-year cumulative profitability.
A25,retained_equity_assets,(Equity - Share Capital) / Total Assets,Retained Equity / Assets,Leverage,(equity - share capital) / total assets,Retained earnings as proportion of assets.
A26,np_+_depr_liabilities,(Net Profit + Depreciation) / Total Liabilities,NP + Depr. / Liabilities,Leverage,(net profit + depreciation) / total liabilities,Cash generation relative to debt burden.
A27,op_profit_fin_expenses,Profit on Operating Activities / Financial Expenses,Op. Profit / Fin. Expenses,Profitability,profit on operating activities / financial expenses,Interest coverage ratio. Higher values indicate ability to service debt.
A28,wc_fixed_assets,Working Capital / Fixed Assets,WC / Fixed Assets,Liquidity,working capital / fixed assets,Liquidity relative to long-term assets.
A29,logtotal_assets,Logarithm of Total Assets,Log(Total Assets),Size,logarithm of total assets,Company size. Larger firms may have different risk profiles.
A30,net_debt_sales,(Total Liabilities - Cash) / Sales,Net Debt / Sales,Leverage,(total liabilities - cash) / sales,Net debt burden relative to revenue.
A31,gp_+_interest_sales,(Gross Profit + Interest) / Sales,GP + Interest / Sales,Profitability,(gross profit + interest) / sales,Profitability before interest cost.
A32,payables_days,(Current Liabilities * 365) / Cost of Products Sold,Payables Days,Activity,(current liabilities * 365) / cost of products sold,Days payable outstanding. Payment cycle to suppliers.
A33,op_expenses_st_liab,Operating Expenses / Short-term Liabilities,Op. Expenses / ST Liab.,Leverage,operating expenses / short-term liabilities,Operating expense burden relative to short-term debt.
A34,op_expenses_liabilities,Operating Expenses / Total Liabilities,Op. Expenses / Liabilities,Leverage,operating expenses / total liabilities,Operating expense burden relative to total debt.
A35,profit_on_sales_assets,Profit on Sales / Total Assets,Profit on Sales / Assets,Profitability,profit on sales / total assets,Sales profitability relative to asset base.
A36,sales_assets,Total Sales / Total Assets,Sales / Assets,Activity,total sales / total assets,Asset turnover. Efficiency of asset utilization.
A37,quick_assets_lt_liab,(Current Assets - Inventories) / Long-term Liabilities,Quick Assets / LT Liab.,Liquidity,(current assets - inventories) / long-term liabilities,Quick assets coverage of long-term debt.
A38,constant_capital_assets,Constant Capital / Total Assets,Constant Capital / Assets,Leverage,constant capital / total assets,Permanent capital proportion.
A39,profit_margin,Profit on Sales / Sales,Profit Margin,Profitability,profit on sales / sales,Operating profit margin.
A40,cash_ratio,(Current Assets - Inventory - Receivables) / Short-term Liabilities,Cash Ratio,Liquidity,(current assets - inventory - receivables) / short-term liabilities,Most conservative liquidity ratio. Only cash and equivalents.
A41,debt_service_coverage,Total Liabilities / ((Profit on Operating Activities + Depreciation) * (12/365)),Debt Service Coverage,Leverage,total liabilities / ((profit on operating activities + depreciation) * (12/365)),Months of operating cash needed to repay all debt.
A42,operating_margin,Profit on Operating Activities / Sales,Operating Margin,Profitability,profit on operating activities / sales,Operating profit margin. Core business profitability.
A43,operating_cycle_days,Rotation Receivables + Inventory Turnover in Days,Operating Cycle (days),Activity,rotation receivables + inventory turnover in days,Total operating cycle length. Lower is better.
A44,receivables_days,(Receivables * 365) / Sales,Receivables Days,Activity,(receivables * 365) / sales,Days sales outstanding. Collection period.
A45,net_profit_inventory,Net Profit / Inventory,Net Profit / Inventory,Activity,net profit / inventory,Profitability per unit of inventory.
A46,quick_ratio,(Current Assets - Inventory) / Short-term Liabilities,Quick Ratio,Liquidity,(current assets - inventory) / short-term liabilities,Quick ratio. Liquidity without relying on inventory sales.
A47,inventory_days_cogs,(Inventory * 365) / Cost of Products Sold,Inventory Days (COGS),Activity,(inventory * 365) / cost of products sold,Days inventory outstanding based on COGS.
A48,ebitda_assets,EBITDA (Profit on Operating Activities - Depreciation) / Total Assets,EBITDA / Assets,Profitability,EBITDA (profit on operating activities - depreciation) / total assets,EBITDA return on assets.
A49,ebitda_margin,EBITDA (Profit on Operating Activities - Depreciation) / Sales,EBITDA Margin,Profitability,EBITDA (profit on operating activities - depreciation) / sales,EBITDA margin. Cash operating profitability.
A50,current_assets_liabilities,Current Assets / Total Liabilities,Current Assets / Liabilities,Liquidity,current assets / total liabilities,Short-term assets coverage of all liabilities.
A51,st_liabilities_assets,Short-term Liabilities / Total Assets,ST Liabilities / Assets,Leverage,short-term liabilities / total assets,Proportion of assets funded by short-term debt.
A52,payables_days_cogs,(Short-term Liabilities * 365) / Cost of Products Sold,Payables Days (COGS),Activity,(short-term liabilities * 365) / cost of products sold,Payables period based on COGS.
A53,equity_fixed_assets,Equity / Fixed Assets,Equity / Fixed Assets,Leverage,equity / fixed assets,Equity coverage of long-term assets.
A54,constant_capital_fixed_assets,Constant Capital / Fixed Assets,Constant Capital / Fixed Assets,Leverage,constant capital / fixed assets,Permanent capital funding of fixed assets.
A55,working_capital,Working Capital,Working Capital,Liquidity,working capital,Absolute working capital. Current assets minus current liabilities.
A56,gross_margin_alt,(Sales - Cost of Products Sold) / Sales,Gross Margin (alt),Profitability,(sales - cost of products sold) / sales,Alternative calculation of gross margin.
A57,defensive_interval,(Current Assets - Inventory - Short-term Liabilities) / (Sales - Gross Profit - Depreciation),Defensive Interval,Liquidity,(current assets - inventory - short-term liabilities) / (sales - gross profit - depreciation),Days company can operate without additional cash inflow.
A58,cost_sales_ratio,Total Costs / Total Sales,Cost / Sales Ratio,Other,total costs / total sales,Cost efficiency. Lower is better.
A59,lt_debt_equity,Long-term Liabilities / Equity,LT Debt / Equity,Leverage,long-term liabilities / equity,Long-term debt-to-equity ratio. Financial leverage.
A60,inventory_turnover,Sales / Inventory,Inventory Turnover,Activity,sales / inventory,Inventory turnover ratio. Higher indicates faster movement.
A61,receivables_turnover,Sales / Receivables,Receivables Turnover,Activity,sales / receivables,Receivables turnover. Higher indicates faster collection.
A62,payables_days_sales,(Short-term Liabilities * 365) / Sales,Payables Days (Sales),Activity,(short-term liabilities * 365) / sales,Payables period based on sales.
A63,payables_turnover,Sales / Short-term Liabilities,Payables Turnover,Activity,sales / short-term liabilities,Payables turnover rate.
A64,fixed_asset_turnover,Sales / Fixed Assets,Fixed Asset Turnover,Activity,sales / fixed assets,Fixed asset turnover. Efficiency of long-term assets.
